Ortsname;Sämann;Sohn;VaterUnser;Matth13;Probe;Jahr;Orthographie;X;Y;Quelle;Kommentar;Informant;Herkunft
Königsberg;;x;;;;1871;Hochdeutsch;52.6881504;12.3391335;Winkler;;Dr. August Schreiner;
Danzig;;x;;;;1870;Hochdeutsch;54.3612063;18.5499458;Winkler;;Prof. Dr. Johann Aug. O. L. Lehnmann;
Greifswald;;x;;;;1870;Hochdeutsch;54.1197062;13.3432808;Winkler;;Prof. Dr. A. Hoefer te Greifswald;
Putbus;;x;;;;1870;Hochdeutsch;54.3469318;13.4136247;Winkler;;Dr. Sorof, Gymnasial-Direktor;
Neumark;;x;;;;1870;Hochdeutsch;50.6552414;12.3387325;Winkler;;Dr. Karl Löffler;
Altmark;;x;;;;1870;Hochdeutsch;52.5721201;10.9459845;Winkler;;Dr. A. Schulz, geheimer Regierungsrat;
Meitzendorf;;x;;;;1870;Hochdeutsch;52.2100017;11.5497767;Winkler;;Dr. A. Schulz, geheimer Regierungsrat;
Hohendodeleben;;x;;;;1870;Hochdeutsch;52.09966;11.4874215;Winkler;;Dr. A. Schulz, geheimer Regierungsrat;
Neubrandenburg;;x;;;;1870;Hochdeutsch;53.5315858;13.17022;Winkler;;F. Boll, Pastor;
Stavenhagen;;x;;;;1870;Hochdeutsch;53.7022652;12.8757415;Winkler;;Fritz Reuter;
Fredrikstad;;x;;;;1870;Hochdeutsch;59.2174758;10.8881369;Winkler;;J. A. M. Mensinga;
Dithmarschen;;x;;;;1870;Hochdeutsch;54.1283871;8.7814738;Winkler;;Prof. Dr. Klaus Groth;
Angeln;;x;;;;1870;Hochdeutsch;54.6592314;9.4953369;Winkler;;Prof. Dr. N. M. Petersen;
Bökingharde;;x;;;;1871;Friesisch;54.774659;8.8340505;Winkler;;M. Nissen;
Stedesand;;x;;;;1871;Friesisch;54.7372057;8.8548623;Winkler;;M. Nissen;
Hattstedt;;x;;;;1871;Friesisch;54.5207271;9.0052957;Winkler;;J. Johannsen;
Amrum;;x;;;;1870;Friesisch;54.6596888;8.2661645;Winkler;;M. Nissen;
Sylt;;x;;;;1871;Friesisch;54.8992691;8.2186085;Winkler;;C. P. Hasen;
Helgoland;;x;;;;1871;Friesisch;54.1799731;7.8824803;Winkler;;Claus Rock;
Schlutup;;x;;;;1870;Hochdeutsch;53.8866926;10.75604;Winkler;;Herr von Grossheim, Pastor;
Hamburg;;x;;;;1870;Hochdeutsch;53.5586627;9.7630175;Winkler;;J. G. Hallier;
Hamburg;;x;;;;1523;;53.5586627;9.7630175;Winkler;;Testament;
Hamburg;;x;;;;1619;;53.5586627;9.7630175;Winkler;;Testament;
Bremen;;x;;;;1870;Hochdeutsch;53.1201237;8.5714817;Winkler;;Dr. J. H. Dreyer, Gymnasiallehrer;
Deister;;x;;;;1870;;52.2472343;9.4972003;Winkler;;F. Callin, Schuldirektor;
Himmelpforten;;x;;;;1871;Hochdeutsch;53.6219144;9.2614598;Winkler;;Herr Bremer, Lehrer an der Rektorschule;
Altendorf;;x;;;;1870;Hochdeutsch;49.7974501;11.0091721;Winkler;;Herr Mahler, Lehrer;
Rechtenfleth;;x;;;;1870;Hochdeutsch;53.3817341;8.4977197;Winkler;; Hermann Allmers;
Eckwarden;;x;;;;1870;Hochdeutsch;53.5338167;8.2623558;Winkler;;H. Schütte;
Jeverland;;x;;;;1871;Hochdeutsch;53.5682451;7.9332171;Winkler;;Dr. A. Lübben;ungefähre Angabe
Rastede;;x;;;;1871;Hochdeutsch;53.2716491;8.1281014;Winkler;;Franz Poppe;
Sagelterland;;x;;;;1870;Friesisch;;;Winkler;;;
Wangerooge;;x;;;;1871;Friesisch;53.7834861;7.8714903;Winkler;;;nicht gefunden
Esens;;x;;;;1870;Hochdeutsch;53.6553278;7.5541049;Winkler;;K. Oltmanns;
Nesse;;x;;;;1870;Hochdeutsch;53.6533748;7.372635;Winkler;;H. J. Sundermann;
Norden;;x;;;;1870;Hochdeutsch;53.5826865;7.1816923;Winkler;;A. Hoppe;
Norderney;;x;;;;1870;Hochdeutsch;53.7119188;7.2008073;Winkler;;C. Hohlen;
Borkum;;x;;;;1870;niederländisch;53.5008699;6.518845;Winkler;;H. Simmering;
Emden;;x;;;;1870;Hochdeutsch;53.3644997;7.0729459;Winkler;;Fr. Sundermann;
Leer;;x;;;;1870;Hochdeutsch;53.2476375;7.4138931;Winkler;;H. L. Willems;
Wittlage;;x;;;;1871;Hochdeutsch;52.3187754;8.3638273;Winkler;;Dr. Hermann Hartmann;
Vreden;;x;;;;1871;Hochdeutsch;52.0608715;6.7164341;Winkler;;Dr. L. Gescher;
Munster;;x;;;;1870;Hochdeutsch;52.9882333;10.0172808;Winkler;;Dr. Tenckhoff;
Paderborn;;x;;;;1870;Hochdeutsch;51.7276839;8.6860327;Winkler;;Herr Hoppe, Oberförster;
Sauerland;;x;;;;1870;Hochdeutsch;51.727839;8.6860326;Winkler;;Prof. F. W. Grimme;
Emmerik;;x;;;;1870;niederländisch;51.8554073;6.1641121;Winkler;;Herr Derksen;
Geldern;;x;;;;1870;Hochdeutsch;51.5219294;6.2282552;Winkler;;Herr Friedr. Nettesheim;
Moers;;x;;;;1870;Hochdeutsch;51.4573864;6.5363142;Winkler;;Dr. F. H. Stratmann;
Düsseldorf;;x;;;;1871;Hochdeutsch;51.238554;6.6495458;Winkler;;Prof. Dr. Jacob Schneider;
Keulen;;x;;;;1871;Hochdeutsch;50.9578032;6.8025179;Winkler;;;
Bonn;;x;;;;1870;Hochdeutsch;50.7036567;7.0348998;Winkler;;Prof. A. Dederich ;
Aken;;x;;;;1872;Hochdeutsch;51.8392562;12.0493428;Winkler;;Herr Boeckelmann;
Maastricht;;x;;;;1873;niederländisch;50.8578761;5.6185065;Winkler;;Prof. P. Willems;
Sittard;;x;;;;1870;niederländisch;51.0049095;5.8241815;Winkler;;;
Roermond;;x;;;;1870;niederländisch;51.1922828;5.9649035;Winkler;;J. B. Sivre;
Venlo;;x;;;;1870;niederländisch;51.3774867;6.1080058;Winkler;;Herr Sivre;
Weert;;x;;;;1873;niederländisch;51.2424398;5.6376981;Winkler;;R. van Geleuken;
Stamproi;;x;;;;1873;niederländisch;51.194346;5.6820882;Winkler;;;
Helmond;;x;;;;1871;niederländisch;51.4736686;5.6120016;Winkler;;G. J. van Lakerveld;
Sambeek;;x;;;;1870;niederländisch;51.6293876;5.9449207;Winkler;;H. C. Strick van Wijk;
Oorschot;;x;;;;1870;niederländisch;51.4891669;5.2086968;Winkler;;H. M. C. van Ossterzee;
Rijsbergen;;x;;;;1870;niederländisch;51.5138818;4.6369023;Winkler;;P.H. de Vlam;
Dussen;;x;;;;1870;niederländisch;51.7357791;4.9386581;Winkler;;J. van der Beek;
Overbetuwe;;x;;;;1870;niederländisch;51.9217699;5.6897015;Winkler;;J. J. Cremer;
Tielerwaard;;x;;;;1871;niederländisch;51.9218102;5.4424746;Winkler;;Dr. R. C. H. Römer;
